Techniques,Rule
T1003,sigma-master/rules/windows/process_creation/proc_creation_win_proc_dump_rdrleakdiag.yml
DISCOVERY,sigma-master/rules/windows/process_creation/proc_creation_win_susp_psloglist.yml
T1087,sigma-master/rules/windows/process_creation/proc_creation_win_susp_psloglist.yml
T1087,sigma-master/rules/windows/process_creation/proc_creation_win_susp_psloglist.yml
T1087,sigma-master/rules/windows/process_creation/proc_creation_win_susp_psloglist.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_forfiles.yml
T1059,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_forfiles.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_xordump.yml
T1036,sigma-master/rules/windows/process_creation/proc_creation_win_xordump.yml
T1003,sigma-master/rules/windows/process_creation/proc_creation_win_xordump.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_infdefaultinstall.yml
T1218,sigma-master/rules/windows/process_creation/proc_creation_win_infdefaultinstall.yml
DISCOVERY,sigma-master/rules/windows/process_creation/proc_creation_win_trust_discovery.yml
T1482,sigma-master/rules/windows/process_creation/proc_creation_win_trust_discovery.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_rundll32_activity.yml
T1218,sigma-master/rules/windows/process_creation/proc_creation_win_susp_rundll32_activity.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_regsvr32_no_dll.yml
T1574,sigma-master/rules/windows/process_creation/proc_creation_win_susp_regsvr32_no_dll.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_regsvr32_no_dll.yml
LATERAL_MOVEMENT,sigma-master/rules/windows/process_creation/proc_creation_win_susp_copy_lateral_movement.yml
COLLECTION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_copy_lateral_movement.yml
EXFILTRATION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_copy_lateral_movement.yml
T1039,sigma-master/rules/windows/process_creation/proc_creation_win_susp_copy_lateral_movement.yml
T1048,sigma-master/rules/windows/process_creation/proc_creation_win_susp_copy_lateral_movement.yml
T1021,sigma-master/rules/windows/process_creation/proc_creation_win_susp_copy_lateral_movement.yml
DISCOVERY,sigma-master/rules/windows/process_creation/proc_creation_win_susp_hostname.yml
T1082,sigma-master/rules/windows/process_creation/proc_creation_win_susp_hostname.yml
COMMAND_AND_CONTROL,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_printbrm.yml
T1105,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_printbrm.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_printbrm.yml
T1564,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_printbrm.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_renamed_megasync.yml
T1218,sigma-master/rules/windows/process_creation/proc_creation_win_renamed_megasync.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_malware_trickbot_wermgr.yml
T1559,sigma-master/rules/windows/process_creation/proc_creation_win_malware_trickbot_wermgr.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_covenant.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_covenant.yml
T1059,sigma-master/rules/windows/process_creation/proc_creation_win_susp_covenant.yml
T1564,sigma-master/rules/windows/process_creation/proc_creation_win_susp_covenant.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_msiexec_dll.yml
T1218,sigma-master/rules/windows/process_creation/proc_creation_win_msiexec_dll.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_proxy_execution_wuauclt.yml
T1218,sigma-master/rules/windows/process_creation/proc_creation_win_proxy_execution_wuauclt.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_proxy_execution_wuauclt.yml
INITIAL_ACCESS,sigma-master/rules/windows/process_creation/proc_creation_win_exploit_cve_2020_10189.yml
T1190,sigma-master/rules/windows/process_creation/proc_creation_win_exploit_cve_2020_10189.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_exploit_cve_2020_10189.yml
T1059,sigma-master/rules/windows/process_creation/proc_creation_win_exploit_cve_2020_10189.yml
T1059,sigma-master/rules/windows/process_creation/proc_creation_win_exploit_cve_2020_10189.yml
S0190,sigma-master/rules/windows/process_creation/proc_creation_win_exploit_cve_2020_10189.yml
2020,sigma-master/rules/windows/process_creation/proc_creation_win_exploit_cve_2020_10189.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_service_execution.yml
T1569,sigma-master/rules/windows/process_creation/proc_creation_win_service_execution.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_system_exe_anomaly.yml
T1036,sigma-master/rules/windows/process_creation/proc_creation_win_system_exe_anomaly.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_cmd_http_appdata.yml
T1059,sigma-master/rules/windows/process_creation/proc_creation_win_susp_cmd_http_appdata.yml
T1059,sigma-master/rules/windows/process_creation/proc_creation_win_susp_cmd_http_appdata.yml
COMMAND_AND_CONTROL,sigma-master/rules/windows/process_creation/proc_creation_win_susp_cmd_http_appdata.yml
T1105,sigma-master/rules/windows/process_creation/proc_creation_win_susp_cmd_http_appdata.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_reg_defender_exclusion.yml
T1562,sigma-master/rules/windows/process_creation/proc_creation_win_reg_defender_exclusion.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_instalutil.yml
DEVELOP_CAPABILITIES,sigma-master/rules/windows/process_creation/proc_creation_win_susp_psexex_paexec_escalate_system.yml
T1587,sigma-master/rules/windows/process_creation/proc_creation_win_susp_psexex_paexec_escalate_system.yml
T1505,sigma-master/rules/windows/process_creation/proc_creation_win_susp_shell_spawn_from_mssql.yml
T1190,sigma-master/rules/windows/process_creation/proc_creation_win_susp_shell_spawn_from_mssql.yml
INITIAL_ACCESS,sigma-master/rules/windows/process_creation/proc_creation_win_susp_shell_spawn_from_mssql.yml
PERSISTENCE,sigma-master/rules/windows/process_creation/proc_creation_win_susp_shell_spawn_from_mssql.yml
PRIVILEGE_ESCALATION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_shell_spawn_from_mssql.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_tool_runx_as_system.yml
T1569,sigma-master/rules/windows/process_creation/proc_creation_win_tool_runx_as_system.yml
S0029,sigma-master/rules/windows/process_creation/proc_creation_win_tool_runx_as_system.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_format.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_adplus.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_adplus.yml
T1003,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_adplus.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_crime_maze_ransomware.yml
T1204,sigma-master/rules/windows/process_creation/proc_creation_win_crime_maze_ransomware.yml
T1047,sigma-master/rules/windows/process_creation/proc_creation_win_crime_maze_ransomware.yml
IMPACT,sigma-master/rules/windows/process_creation/proc_creation_win_crime_maze_ransomware.yml
T1490,sigma-master/rules/windows/process_creation/proc_creation_win_crime_maze_ransomware.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_jsc.yml
T1127,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_jsc.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_impacket_compiled_tools.yml
T1557,sigma-master/rules/windows/process_creation/proc_creation_win_impacket_compiled_tools.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_diantz_ads.yml
T1564,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_diantz_ads.yml
PERSISTENCE,sigma-master/rules/windows/process_creation/proc_creation_win_net_user_add.yml
T1136,sigma-master/rules/windows/process_creation/proc_creation_win_net_user_add.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_creation_mavinject_dll.yml
COLLECTION,sigma-master/rules/windows/process_creation/proc_creation_win_creation_mavinject_dll.yml
T1218,sigma-master/rules/windows/process_creation/proc_creation_win_creation_mavinject_dll.yml
T1056,sigma-master/rules/windows/process_creation/proc_creation_win_creation_mavinject_dll.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_mal_ryuk.yml
T1204,sigma-master/rules/windows/process_creation/proc_creation_win_mal_ryuk.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_run_powershell_script_from_input_stream.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_run_powershell_script_from_input_stream.yml
T1059,sigma-master/rules/windows/process_creation/proc_creation_win_run_powershell_script_from_input_stream.yml
T1587,sigma-master/rules/windows/process_creation/proc_creation_win_apt_mustangpanda.yml
RESOURCE_DEVELOPMENT,sigma-master/rules/windows/process_creation/proc_creation_win_apt_mustangpanda.yml
PERSISTENCE,sigma-master/rules/windows/process_creation/proc_creation_win_susp_vbscript_unc2452.yml
T1547,sigma-master/rules/windows/process_creation/proc_creation_win_susp_vbscript_unc2452.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_script_exec_from_env_folder.yml
T1059,sigma-master/rules/windows/process_creation/proc_creation_win_susp_script_exec_from_env_folder.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_jlaive_batch_execution.yml
T1059,sigma-master/rules/windows/process_creation/proc_creation_win_jlaive_batch_execution.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_office_shell.yml
T1204,sigma-master/rules/windows/process_creation/proc_creation_win_office_shell.yml
G0049,sigma-master/rules/windows/process_creation/proc_creation_win_apt_greenbug_may20.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_apt_greenbug_may20.yml
T1059,sigma-master/rules/windows/process_creation/proc_creation_win_apt_greenbug_may20.yml
COMMAND_AND_CONTROL,sigma-master/rules/windows/process_creation/proc_creation_win_apt_greenbug_may20.yml
T1105,sigma-master/rules/windows/process_creation/proc_creation_win_apt_greenbug_may20.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_apt_greenbug_may20.yml
T1036,sigma-master/rules/windows/process_creation/proc_creation_win_apt_greenbug_may20.yml
EXFILTRATION,sigma-master/rules/windows/process_creation/proc_creation_win_regedit_export_keys.yml
T1012,sigma-master/rules/windows/process_creation/proc_creation_win_regedit_export_keys.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_proc_dump_dumpminitool.yml
T1036,sigma-master/rules/windows/process_creation/proc_creation_win_proc_dump_dumpminitool.yml
T1003,sigma-master/rules/windows/process_creation/proc_creation_win_proc_dump_dumpminitool.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_c3_load_by_rundll32.yml
T1218,sigma-master/rules/windows/process_creation/proc_creation_win_c3_load_by_rundll32.yml
CREDENTIAL_ACCESS,sigma-master/rules/windows/process_creation/proc_creation_win_sqlite_firefox_cookies.yml
T1539,sigma-master/rules/windows/process_creation/proc_creation_win_sqlite_firefox_cookies.yml
EXFILTRATION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_curl_fileupload.yml
T1567,sigma-master/rules/windows/process_creation/proc_creation_win_susp_curl_fileupload.yml
T1105,sigma-master/rules/windows/process_creation/proc_creation_win_susp_curl_fileupload.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_invoke_obfuscation_via_compress.yml
T1027,sigma-master/rules/windows/process_creation/proc_creation_win_invoke_obfuscation_via_compress.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_invoke_obfuscation_via_compress.yml
T1059,sigma-master/rules/windows/process_creation/proc_creation_win_invoke_obfuscation_via_compress.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_mpiexec_lolbin.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_mpiexec_lolbin.yml
T1218,sigma-master/rules/windows/process_creation/proc_creation_win_susp_mpiexec_lolbin.yml
COLLECTION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_winrar_execution.yml
T1560,sigma-master/rules/windows/process_creation/proc_creation_win_susp_winrar_execution.yml
RESOURCE_DEVELOPMENT,sigma-master/rules/windows/process_creation/proc_creation_win_susp_renamed_debugview.yml
T1588,sigma-master/rules/windows/process_creation/proc_creation_win_susp_renamed_debugview.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_malware_emotet.yml
T1059,sigma-master/rules/windows/process_creation/proc_creation_win_malware_emotet.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_malware_emotet.yml
T1027,sigma-master/rules/windows/process_creation/proc_creation_win_malware_emotet.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_powershell_enc_cmd.yml
T1059,sigma-master/rules/windows/process_creation/proc_creation_win_susp_powershell_enc_cmd.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_rundll32_setupapi_installhinfsection.yml
T1218,sigma-master/rules/windows/process_creation/proc_creation_win_susp_rundll32_setupapi_installhinfsection.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_script_exec_from_temp.yml
T1059,sigma-master/rules/windows/process_creation/proc_creation_win_susp_script_exec_from_temp.yml
IMPACT,sigma-master/rules/windows/process_creation/proc_creation_win_susp_taskkill.yml
T1489,sigma-master/rules/windows/process_creation/proc_creation_win_susp_taskkill.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_zipexec.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_zipexec.yml
T1218,sigma-master/rules/windows/process_creation/proc_creation_win_susp_zipexec.yml
T1202,sigma-master/rules/windows/process_creation/proc_creation_win_susp_zipexec.yml
COLLECTION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_rar_flags.yml
T1560,sigma-master/rules/windows/process_creation/proc_creation_win_susp_rar_flags.yml
CREDENTIAL_ACCESS,sigma-master/rules/windows/process_creation/proc_creation_win_susp_ntdsutil.yml
T1003,sigma-master/rules/windows/process_creation/proc_creation_win_susp_ntdsutil.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_rundll32_script_run.yml
T1218,sigma-master/rules/windows/process_creation/proc_creation_win_susp_rundll32_script_run.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_wmiprvse_spawning_process.yml
T1047,sigma-master/rules/windows/process_creation/proc_creation_win_wmiprvse_spawning_process.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_file_permission_modifications.yml
T1222,sigma-master/rules/windows/process_creation/proc_creation_win_file_permission_modifications.yml
T1203,sigma-master/rules/windows/process_creation/proc_creation_win_vul_java_remote_debugging.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_vul_java_remote_debugging.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_msdt_diagcab.yml
T1202,sigma-master/rules/windows/process_creation/proc_creation_win_msdt_diagcab.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_wmic_security_product_uninstall.yml
T1562,sigma-master/rules/windows/process_creation/proc_creation_win_susp_wmic_security_product_uninstall.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_pcwrun.yml
T1218,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_pcwrun.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_pcwrun.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_apt_evilnum_jul20.yml
T1218,sigma-master/rules/windows/process_creation/proc_creation_win_apt_evilnum_jul20.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_sysmon_driver_unload.yml
T1070,sigma-master/rules/windows/process_creation/proc_creation_win_sysmon_driver_unload.yml
T1562,sigma-master/rules/windows/process_creation/proc_creation_win_sysmon_driver_unload.yml
T1562,sigma-master/rules/windows/process_creation/proc_creation_win_sysmon_driver_unload.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_embed_exe_lnk.yml
T1059,sigma-master/rules/windows/process_creation/proc_creation_win_embed_exe_lnk.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_csc.yml
T1059,sigma-master/rules/windows/process_creation/proc_creation_win_susp_csc.yml
T1059,sigma-master/rules/windows/process_creation/proc_creation_win_susp_csc.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_csc.yml
T1218,sigma-master/rules/windows/process_creation/proc_creation_win_susp_csc.yml
T1027,sigma-master/rules/windows/process_creation/proc_creation_win_susp_csc.yml
EXFILTRATION,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_configsecuritypolicy.yml
T1567,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_configsecuritypolicy.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_apt_zxshell.yml
T1059,sigma-master/rules/windows/process_creation/proc_creation_win_apt_zxshell.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_apt_zxshell.yml
T1218,sigma-master/rules/windows/process_creation/proc_creation_win_apt_zxshell.yml
S0412,sigma-master/rules/windows/process_creation/proc_creation_win_apt_zxshell.yml
G0001,sigma-master/rules/windows/process_creation/proc_creation_win_apt_zxshell.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_uac_bypass_trustedpath.yml
T1548,sigma-master/rules/windows/process_creation/proc_creation_win_susp_uac_bypass_trustedpath.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_possible_applocker_bypass.yml
T1218,sigma-master/rules/windows/process_creation/proc_creation_win_possible_applocker_bypass.yml
T1218,sigma-master/rules/windows/process_creation/proc_creation_win_possible_applocker_bypass.yml
T1127,sigma-master/rules/windows/process_creation/proc_creation_win_possible_applocker_bypass.yml
T1218,sigma-master/rules/windows/process_creation/proc_creation_win_possible_applocker_bypass.yml
T1218,sigma-master/rules/windows/process_creation/proc_creation_win_possible_applocker_bypass.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_lethalhta.yml
T1218,sigma-master/rules/windows/process_creation/proc_creation_win_lethalhta.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_schtasks_pattern.yml
T1053,sigma-master/rules/windows/process_creation/proc_creation_win_susp_schtasks_pattern.yml
IMPACT,sigma-master/rules/windows/process_creation/proc_creation_win_crypto_mining_monero.yml
T1496,sigma-master/rules/windows/process_creation/proc_creation_win_crypto_mining_monero.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_dnx.yml
T1218,sigma-master/rules/windows/process_creation/proc_creation_win_susp_dnx.yml
T1027,sigma-master/rules/windows/process_creation/proc_creation_win_susp_dnx.yml
INITIAL_ACCESS,sigma-master/rules/windows/process_creation/proc_creation_win_rpcss_anomalies.yml
T1190,sigma-master/rules/windows/process_creation/proc_creation_win_rpcss_anomalies.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_rpcss_anomalies.yml
T1569,sigma-master/rules/windows/process_creation/proc_creation_win_rpcss_anomalies.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_syncappvpublishingserver_execute_psh.yml
T1218,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_syncappvpublishingserver_execute_psh.yml
PERSISTENCE,sigma-master/rules/windows/process_creation/proc_creation_win_susp_add_user_remote_desktop.yml
T1133,sigma-master/rules/windows/process_creation/proc_creation_win_susp_add_user_remote_desktop.yml
T1136,sigma-master/rules/windows/process_creation/proc_creation_win_susp_add_user_remote_desktop.yml
LATERAL_MOVEMENT,sigma-master/rules/windows/process_creation/proc_creation_win_susp_add_user_remote_desktop.yml
T1021,sigma-master/rules/windows/process_creation/proc_creation_win_susp_add_user_remote_desktop.yml
CREDENTIAL_ACCESS,sigma-master/rules/windows/process_creation/proc_creation_win_susp_rpcping.yml
T1003,sigma-master/rules/windows/process_creation/proc_creation_win_susp_rpcping.yml
DISCOVERY,sigma-master/rules/windows/process_creation/proc_creation_win_susp_codepage_lookup.yml
T1614,sigma-master/rules/windows/process_creation/proc_creation_win_susp_codepage_lookup.yml
T1546,sigma-master/rules/windows/process_creation/proc_creation_win_susp_powershell_download_iex.yml
COLLECTION,sigma-master/rules/windows/process_creation/proc_creation_win_powershell_audio_capture.yml
T1123,sigma-master/rules/windows/process_creation/proc_creation_win_powershell_audio_capture.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_susp_acccheckconsole.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_cmd_delete.yml
T1070,sigma-master/rules/windows/process_creation/proc_creation_win_cmd_delete.yml
EXFILTRATION,sigma-master/rules/windows/process_creation/proc_creation_win_tap_installer_execution.yml
T1048,sigma-master/rules/windows/process_creation/proc_creation_win_tap_installer_execution.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_pressynkey_lolbin.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_pressynkey_lolbin.yml
T1218,sigma-master/rules/windows/process_creation/proc_creation_win_susp_pressynkey_lolbin.yml
DISCOVERY,sigma-master/rules/windows/process_creation/proc_creation_win_accesschk_usage_after_priv_escalation.yml
T1069,sigma-master/rules/windows/process_creation/proc_creation_win_accesschk_usage_after_priv_escalation.yml
T1218,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_rundll32_installscreensaver.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_rundll32_installscreensaver.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_fsharp_interpreters.yml
T1059,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_fsharp_interpreters.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_susp_mpcmdrun_download.yml
T1218,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_susp_mpcmdrun_download.yml
COMMAND_AND_CONTROL,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_susp_mpcmdrun_download.yml
T1105,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_susp_mpcmdrun_download.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_remove_windows_defender_definition_files.yml
T1562,sigma-master/rules/windows/process_creation/proc_creation_win_remove_windows_defender_definition_files.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_wfc.yml
T1127,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_wfc.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_invoke_obfuscation_via_use_mhsta.yml
T1027,sigma-master/rules/windows/process_creation/proc_creation_win_invoke_obfuscation_via_use_mhsta.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_invoke_obfuscation_via_use_mhsta.yml
T1059,sigma-master/rules/windows/process_creation/proc_creation_win_invoke_obfuscation_via_use_mhsta.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_attrib_hiding_files.yml
T1564,sigma-master/rules/windows/process_creation/proc_creation_win_attrib_hiding_files.yml
IMPACT,sigma-master/rules/windows/process_creation/proc_creation_win_susp_schtasks_disable.yml
T1489,sigma-master/rules/windows/process_creation/proc_creation_win_susp_schtasks_disable.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_findstr_lnk.yml
T1036,sigma-master/rules/windows/process_creation/proc_creation_win_susp_findstr_lnk.yml
T1202,sigma-master/rules/windows/process_creation/proc_creation_win_susp_findstr_lnk.yml
T1027,sigma-master/rules/windows/process_creation/proc_creation_win_susp_findstr_lnk.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_msdt_answer_file.yml
T1218,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_msdt_answer_file.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_msdt_answer_file.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_base64_invoke_susp_cmdlets.yml
T1059,sigma-master/rules/windows/process_creation/proc_creation_win_base64_invoke_susp_cmdlets.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_base64_invoke_susp_cmdlets.yml
T1027,sigma-master/rules/windows/process_creation/proc_creation_win_base64_invoke_susp_cmdlets.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_tool_nircmd.yml
T1569,sigma-master/rules/windows/process_creation/proc_creation_win_tool_nircmd.yml
S0029,sigma-master/rules/windows/process_creation/proc_creation_win_tool_nircmd.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_crime_snatch_ransomware.yml
T1204,sigma-master/rules/windows/process_creation/proc_creation_win_crime_snatch_ransomware.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_cleanwipe.yml
T1562,sigma-master/rules/windows/process_creation/proc_creation_win_cleanwipe.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_ftp.yml
T1059,sigma-master/rules/windows/process_creation/proc_creation_win_susp_ftp.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_susp_ftp.yml
T1202,sigma-master/rules/windows/process_creation/proc_creation_win_susp_ftp.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_uac_bypass_cleanmgr.yml
PRIVILEGE_ESCALATION,sigma-master/rules/windows/process_creation/proc_creation_win_uac_bypass_cleanmgr.yml
T1548,sigma-master/rules/windows/process_creation/proc_creation_win_uac_bypass_cleanmgr.yml
COMMAND_AND_CONTROL,sigma-master/rules/windows/process_creation/proc_creation_win_susp_desktopimgdownldr.yml
T1105,sigma-master/rules/windows/process_creation/proc_creation_win_susp_desktopimgdownldr.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_rundll32_parent_explorer.yml
EXECUTION,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_cmdl32.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_cmdl32.yml
T1218,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_cmdl32.yml
T1202,sigma-master/rules/windows/process_creation/proc_creation_win_lolbin_cmdl32.yml
CREDENTIAL_ACCESS,sigma-master/rules/windows/process_creation/proc_creation_win_hack_wce.yml
T1003,sigma-master/rules/windows/process_creation/proc_creation_win_hack_wce.yml
S0005,sigma-master/rules/windows/process_creation/proc_creation_win_hack_wce.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_commandline_path_traversal_evasion.yml
T1036,sigma-master/rules/windows/process_creation/proc_creation_win_commandline_path_traversal_evasion.yml
COMMAND_AND_CONTROL,sigma-master/rules/windows/process_creation/proc_creation_win_anydesk.yml
T1219,sigma-master/rules/windows/process_creation/proc_creation_win_anydesk.yml
PRIVILEGE_ESCALATION,sigma-master/rules/windows/process_creation/proc_creation_win_uac_bypass_cmstp.yml
DEFENSE_EVASION,sigma-master/rules/windows/process_creation/proc_creation_win_uac_bypass_cmstp.yml
